property_type,property_address,property_price,property_extras,property_image,property_details_link,last_updated_at_UTC
"4 bed house, Cardiff","Brithdir Street, Cardiff, Cardiff, CF24 4LG",From £87 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31044002/image/s2/637704065938693329/1bf47d311088ba5ce5d07bb1b0051bde876a8151.jpg",https://www.accommodationforstudents.com/property/AGT29420_31044002,23-Oct-2021 19:59:55
"4 bed house, Leicester","Latimer Street, Leicester, Leicester, LE3 0QE",From £105 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3.eu-west-2.amazonaws.com/media.estateagentfeeds.com/properties/media/xl/a41411754872a675e6ee231ac63bd1ff_0.jpg",https://www.accommodationforstudents.com/property/AGT16586_341,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Lisvane Street, Cardiff, Cardiff, CF24 4LJ",From £83 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31042452/image/s2/637703426542021457/b58ca38a19d0ca3a94731055d794f418847d637d.jpg",https://www.accommodationforstudents.com/property/AGT29420_31042452,23-Oct-2021 19:59:55
"4 bed house, Lenton","Saxon green, Lenton, Nottingham, NG72LL",From £110 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/13483_Main.jpg",https://www.accommodationforstudents.com/property/13483,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Flora Street, Cardiff, Cardiff, CF24 4EQ",From £83 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045257/image/s2/637704217868990786/15e68c9c83bd1954fc8273c0d7f320082055852b.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045257,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Tewkesbury Street, Cardiff, Cardiff, CF24 4QT",From £83 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045098/image/s2/637704201216962521/44c3d702467b58b91309245e8ee01142a087a627.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045098,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Merthyr Street, Cardiff, Cardiff, CF24 4JL",From £83 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045786/image/s2/637704283202423562/3952e77c553cc5c609a1a02d14f75cc0df7f0d4a.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045786,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Inverness Place, Cardiff, Cardiff, CF24 4SA",From £81 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045443/image/s2/637704243554112568/f48a5fd123cd5958d23fbc5454554971a5a35562.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045443,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Dogfield Street, Cardiff, Cardiff, CF24 4QL",From £81 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31044899/image/s2/637704169315354132/b92086b3d1b0e1cd5e2324cdc00e400215ca2b1d.jpg",https://www.accommodationforstudents.com/property/AGT29420_31044899,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Keppoch Street, Cardiff, Cardiff, CF24 3JS",From £81 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045088/image/s2/637704199612100720/8a93a0e965b92b7e624d1008d670aa23f38cf06a.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045088,23-Oct-2021 19:59:55
